Year,Seed,FK,FKS,AAWCE
2000,0,0.9395693803526525,0.025796283411794838,0.00255340902174
2000,1,0.9391287375915083,0.019132573859361426,0.0025110465001
2000,2,0.9394728528720259,0.025352577136343236,0.00280390280439
2000,3,0.939134010806351,0.02129981014499338,0.00288699976964
2000,4,0.9397424626644559,0.027740669650069723,0.0028123181765
2006,0,0.9704702816571873,0.01639596443357056,0.00419106479955
2006,1,0.9704702816571873,0.01639596443357056,0.00419106479955
2006,2,0.9704702816571873,0.01639596443357056,0.00419106479955
2006,3,0.9704702816571873,0.01639596443357056,0.00419106479955
2006,4,0.9704702816571873,0.01639596443357056,0.00419106479955
