theta_it,Metric_1,Metric_2,Metric_3
0.0,0.9394548723022881,0.0005085533224338384,0.018580651582
0.005,0.9397301785598479,0.0015535458844576798,0.0145723022276
0.01,0.9395957721889838,0.004567208467224994,0.0100719898894
0.015000000000000003,0.9389735181254137,0.005292244991312627,0.00651208784019
0.02,0.9387416348745476,0.005974903601890625,0.00405998416352
0.025,0.9384560380014458,0.006608803955165617,0.00191511361958
0.030000000000000006,0.9383401079550302,0.008366662970757667,0.00168494987813
0.035,0.9379496075227622,0.00917599419446192,0.00243176237859
0.04,0.9376531028909146,0.008830459991776372,0.00337966847424
0.045,0.937408516844405,0.008370765076100593,0.00408294426279
0.05,0.9373893039330954,0.009332167066288135,0.00470691766031
0.05500000000000001,0.9373052821252118,0.01222113161504065,0.00510999423812
0.06000000000000001,0.9373575870670865,0.015714214193381988,0.00561136630227
0.065,0.9369161439425796,0.014775479253786005,0.00586310481248
0.07,0.9370601973849734,0.018567565432512107,0.00644620457621
0.075,0.9369301853290433,0.01932096231429827,0.00713411855417
0.08,0.936970665139032,0.0229669834552134,0.00790409861532
0.085,0.9369145882576588,0.025624695432231285,0.00850576812176
0.09,0.9367585943335766,0.02715241422963202,0.00910850434592
0.095,0.9369000748374542,0.030049685286944114,0.00972921521657
0.1,0.9369254110322961,0.03204525035544324,0.010633592106
