theta_cp,Metric_1,Metric_2,Metric_3
0.0,0.9358474588783613,0.007978497711468331,0.00505629868035
0.0025,0.935972460219163,0.007998443204831248,0.00506005224062
0.005,0.9361944681854645,0.008791607395417785,0.00491307611319
0.0075000000000000015,0.9362194838868295,0.00902341752285552,0.00486396291466
0.01,0.936499600561628,0.00918870917960615,0.00499369466855
0.0125,0.9366705064207193,0.008936168117138309,0.00496237744331
0.015000000000000003,0.9367802140024297,0.00917409040270288,0.00493828223855
0.0175,0.9369055741750325,0.00876578232274046,0.00488005485283
0.02,0.9369830093692868,0.008718814671847232,0.00479118802739
0.0225,0.9371504827746009,0.00845957639888663,0.00474730549006
0.025,0.9373893039330954,0.009332167066288135,0.00470691766031
0.027500000000000004,0.9375268470863589,0.009909853603772618,0.00456672504137
0.030000000000000006,0.9376206509573486,0.009163264811611999,0.00442167042385
0.0325,0.9377469925994424,0.00964922593961306,0.004418583791
0.035,0.9378319621387847,0.010156411383593154,0.0042709854178
0.0375,0.9378832675617598,0.012165844685214791,0.00405610426164
0.04,0.9377968614922348,0.01265557304286073,0.00411295482916
0.0425,0.9378800066173328,0.0129018436626336,0.00406906589761
0.045,0.937979431819011,0.013758753336480191,0.00395707388
0.0475,0.938029650569939,0.014313609393216877,0.0039923458262
0.05,0.9381721410361752,0.01536043658288019,0.00401336751652
